val_period,n_train,n_val,MAE,RMSE,MAPE,model
8,1248,312,0.0,0.0,,per_vendor
9,1560,312,0.0,0.0,,per_vendor
10,1872,312,0.0,0.0,,per_vendor
11,2184,312,0.0,0.0,,per_vendor
12,2496,312,1847.3685302734375,17410.47592686656,100.0,per_vendor
13,2808,312,22155.83984375,158659.62722759688,109.48200804042669,per_vendor
14,3120,312,19782.9296875,95701.65908697718,1942.2104922848214,per_vendor
15,3432,312,22260.111328125,133954.77493542363,423.1802187474119,per_vendor
16,3744,312,31989.94140625,173385.8631376849,162126.44816599466,per_vendor
17,4056,312,18710.884765625,111799.01967369839,11318.269614070352,per_vendor
18,4368,312,9351.177734375,35772.502512404695,6310.859207280214,per_vendor
19,4680,312,4417.8193359375,28292.80615280146,146.5448114458443,per_vendor
20,4992,312,6687.5732421875,49959.86613272698,8172.575158730953,per_vendor
21,5304,312,8140.490234375,56077.22218512611,1357.4552506281602,per_vendor
22,5616,312,9510.8203125,63054.27046600413,1310.8600322567413,per_vendor
23,5928,312,2402.37158203125,10702.149316842855,2312.6391049464883,per_vendor
24,6240,312,3394.36328125,16830.885894687777,3868.7417992698747,per_vendor
25,6552,312,3754.731689453125,18395.86562247072,2284.0768624909933,per_vendor
26,6864,312,7449.0185546875,42829.79150077665,6369.2605988893065,per_vendor
27,7176,312,9528.6171875,35203.73252937819,890.580305723401,per_vendor
28,7488,312,5640.18017578125,33619.634263328924,2158.7403626171986,per_vendor
29,7800,312,5283.24462890625,32607.250236718828,138.3490791897708,per_vendor
30,8112,312,4751.91162109375,24999.151345595714,1253.4542100836352,per_vendor
31,8424,312,4214.3984375,22673.224384723053,148.64250846476904,per_vendor
32,8736,312,2058.494140625,8759.968493094026,869.100421283688,per_vendor
33,9048,312,7322.95751953125,30723.21545671937,711.7875036104706,per_vendor
34,9360,312,6478.6806640625,29367.44973605982,476.48245644965186,per_vendor
35,9672,312,4854.99169921875,28446.97298483619,835.3009805040323,per_vendor
36,9984,312,2500.328369140625,10640.981909579585,1303.731522851831,per_vendor
37,10296,312,9476.9521484375,52972.249942776645,609.727286003453,per_vendor
38,10608,312,10177.0830078125,74865.50287014707,799.3926024209135,per_vendor
39,10920,312,6819.5986328125,36057.546893819606,888.5417659569496,per_vendor
40,11232,312,3568.898681640625,41536.080123189284,2757.3963026362626,per_vendor
41,11544,312,6015.630859375,27260.408214111543,1754.8647283221278,per_vendor
42,11856,312,3831.474853515625,25233.459691449367,188.53913039524858,per_vendor
43,12168,312,5792.68408203125,41705.477050382724,402.55495675906946,per_vendor
44,12480,312,2994.42431640625,29991.817550792082,6842.957682741379,per_vendor
45,12792,312,6432.2099609375,30766.914177408173,7275.151688006787,per_vendor
46,13104,312,6595.0322265625,36851.04112504829,1500.141117502802,per_vendor
47,13416,312,3846.5419921875,22961.048756535492,473.98987104885225,per_vendor
48,13728,312,1015.3045043945312,4921.352862780721,754.586801304965,per_vendor
49,14040,312,8006.8076171875,43632.87421199754,2821.8151767128834,per_vendor
50,14352,312,6516.365234375,45025.48682690727,133.11972742575657,per_vendor
51,14664,312,2503.205810546875,14061.486692380717,103.60690403100013,per_vendor
9,52,13,0.0,0.0,,aggregate
10,65,13,0.0,0.0,,aggregate
11,78,13,0.0,0.0,,aggregate
12,91,13,45741.921875,110054.22488936987,100.0,aggregate
13,104,13,604122.0,1259597.6301279706,99.92128289370233,aggregate
14,117,13,381286.6875,760477.1177727835,2107.47873281763,aggregate
15,130,13,495576.84375,975939.4562205179,1866.791863525629,aggregate
16,143,14,598569.8125,998264.967278728,169863.34088598186,aggregate
17,157,14,244763.78125,619527.9867253779,252.94760916012882,aggregate
18,171,14,161636.71875,244374.91354064966,2308.515257681285,aggregate
19,185,14,183648.71875,343303.2422800577,1213.4059189679676,aggregate
20,199,14,76936.6640625,138377.67218738722,10415.666758851477,aggregate
21,213,14,44185.5546875,80003.79510998212,98.92652270175573,aggregate
22,227,14,117551.9453125,208215.86337260666,58.38330982472941,aggregate
23,241,14,71646.6875,119217.45053472667,199.86182210199865,aggregate
24,255,14,23165.041015625,43331.403115985064,3054.6867097854333,aggregate
25,269,14,88200.1171875,177077.73009613602,354.0348087065812,aggregate
26,283,14,48588.89453125,80529.18417567633,42.55471622344956,aggregate
27,297,14,198039.28125,302372.67178103246,8925.09260450352,aggregate
28,311,14,319078.15625,505299.8238036503,36977.6245843694,aggregate
29,325,14,115413.546875,245703.31012829274,51.94665875408816,aggregate
30,339,14,87418.3359375,172559.4117746117,174.63030711728993,aggregate
31,353,14,53846.2734375,110481.71816187509,138.0326620268001,aggregate
32,367,14,19865.044921875,35009.886603643834,55.36141337765815,aggregate
33,381,14,126073.1875,267805.1074046199,23.798923431500786,aggregate
34,395,14,53775.44921875,84982.3849983042,31.54831585160474,aggregate
35,409,14,80330.4375,173751.02444590075,51.76663817765769,aggregate
36,423,14,24559.6875,43749.6528900516,329.3030954829713,aggregate
37,437,14,117778.828125,230912.9933459787,42.68052341246394,aggregate
38,451,14,94074.328125,204013.23878611406,31.309546469707744,aggregate
39,465,14,73677.9453125,146041.16373132612,72.94495916960587,aggregate
40,479,14,84463.9140625,240175.7052826118,2737.173360444274,aggregate
41,493,14,87882.2421875,187059.4097713344,16.510815169017942,aggregate
42,507,14,102880.0390625,283502.02742132195,13.647250951765638,aggregate
43,521,14,39229.89453125,109052.57271609873,18.425783887722893,aggregate
44,535,14,42847.8203125,76979.9857625344,463.8076133761364,aggregate
45,549,14,78198.0234375,150711.93524071013,38.43955547052675,aggregate
46,563,14,83905.859375,161612.6600981495,522.680624465922,aggregate
47,577,14,23652.330078125,47475.00091627171,43.96276008329685,aggregate
48,591,14,14020.1767578125,25000.190719272523,1772.629741949466,aggregate
49,605,14,93235.0859375,237678.18996281506,10.693013361696185,aggregate
50,619,14,93573.0859375,238398.78013110723,13.2421135790641,aggregate
51,633,14,41532.03515625,75604.08200619859,24.18541404356694,aggregate
