year,quarter,temp_mean_c,temp_max_c,precip_mm,sun_hours,gdd,frost_days
2013,Q1,2.082222222222222,4.99,141.9,432.17273611111113,2.0,51
2013,Q2,11.928571428571429,16.045054945054943,175.9,837.70635,263.2,6
2013,Q3,18.15869565217391,22.307608695652174,133.6,947.5061305555555,750.6,0
2013,Q4,8.493478260869566,11.160869565217391,254.0,434.0985166666667,110.4,4
2014,Q1,7.014444444444444,10.502222222222223,149.9,546.1595611111111,16.699999999999996,6
2014,Q2,14.143956043956043,18.35934065934066,191.0,1015.43105,385.0,0
2014,Q3,17.33913043478261,21.12391304347826,280.6,898.2351861111111,675.2,0
2014,Q4,9.083695652173914,11.730434782608697,202.0,457.27839166666666,135.6,6
2015,Q1,4.455555555555556,7.752222222222223,193.0,534.4068777777778,0.5,30
2015,Q2,12.952747252747253,17.54175824175824,139.2,1010.4236083333333,311.0,3
2015,Q3,17.60326086956522,21.789130434782606,211.5,898.4389194444444,699.5,0
2015,Q4,10.092391304347826,12.759782608695653,149.5,423.41936111111113,122.8,1
2016,Q1,5.09010989010989,8.123076923076924,254.20000000000002,484.5166638888889,2.900000000000002,28
2016,Q2,13.463736263736264,17.560439560439562,257.7,937.8138944444445,367.4,0
2016,Q3,18.68695652173913,22.907608695652176,132.2,992.6607055555555,799.2,0
2016,Q4,7.3500000000000005,10.197826086956523,130.4,477.56509166666666,47.6,12
2017,Q1,5.394444444444445,8.742222222222221,168.4,487.94728888888886,19.300000000000004,27
2017,Q2,14.438461538461539,18.963736263736266,123.5,941.1821083333333,454.4,1
2017,Q3,17.104347826086954,21.093478260869563,213.7,866.7688805555556,653.6,0
2017,Q4,8.555434782608696,11.066304347826087,196.79999999999998,388.1983611111111,128.0,7
2018,Q1,4.09,7.369999999999999,205.4,467.12541666666664,5.6,30
2018,Q2,15.442857142857143,20.194505494505496,111.5,940.2969333333333,506.0,0
2018,Q3,19.065217391304348,23.906521739130437,134.7,1023.2681361111111,834.8,0
2018,Q4,8.785869565217391,11.968478260869563,174.4,481.56843888888886,126.4,8
2019,Q1,5.9144444444444435,9.307777777777778,186.6,482.29725,4.1,15
2019,Q2,13.663736263736265,18.392307692307693,177.8,971.6094138888889,384.3,2
2019,Q3,18.143478260869564,22.652173913043477,159.7,972.6194694444445,749.2,0
2019,Q4,8.397826086956522,11.056521739130435,270.9,397.83138333333335,104.6,10
2020,Q1,6.717582417582417,9.673626373626373,245.7,493.29628055555554,11.399999999999999,10
2020,Q2,14.526373626373628,19.63956043956044,125.0,1074.6567472222223,437.4,2
2020,Q3,18.405434782608694,22.916304347826088,195.6,975.8155722222223,773.3000000000001,0
2020,Q4,8.907608695652174,11.52608695652174,198.5,420.0804972222222,94.2,7
2021,Q1,4.956666666666667,8.266666666666667,205.6,507.29159444444446,26.4,21
2021,Q2,12.305494505494504,16.658241758241758,220.8,955.7855777777778,322.7,6
2021,Q3,17.16086956521739,21.065217391304348,259.6,910.1869555555555,658.8,0
2021,Q4,7.992391304347826,10.793478260869565,213.9,359.4924833333333,71.8,6
2022,Q1,6.1644444444444435,9.918888888888889,128.8,542.2246194444444,12.700000000000001,20
2022,Q2,14.27032967032967,19.0010989010989,161.8,971.8454361111111,428.8,1
2022,Q3,18.61521739130435,23.38913043478261,147.1,997.4200027777778,794.3,0
2022,Q4,9.110869565217392,11.957608695652173,214.5,449.34211111111114,161.4,11
2023,Q1,6.117777777777778,9.011111111111111,213.5,387.31464444444447,25.6,23
2023,Q2,14.119780219780221,18.647252747252747,194.20000000000002,973.9577527777777,421.7,2
2023,Q3,18.503260869565217,22.72391304347826,231.8,952.8420722222222,782.3,0
2023,Q4,9.534782608695652,12.15108695652174,346.6,393.3764638888889,136.3,6
2024,Q1,6.927472527472527,9.935164835164835,259.1,423.8726277777778,22.4,13
2024,Q2,13.861538461538462,17.84285714285714,335.8,872.5938861111111,388.3,1
2024,Q3,18.019565217391303,22.180434782608696,254.5,906.9847583333333,738.2,0
2024,Q4,8.678260869565218,11.553260869565218,215.6,351.89023055555555,97.2,5
2025,Q1,5.016666666666667,8.732222222222221,179.6,525.2523,19.199999999999996,35
2025,Q2,15.51208791208791,20.54945054945055,100.0,1020.7627861111112,507.3,0
2025,Q3,18.41086956521739,23.028260869565216,131.4,1001.1181138888888,773.8,0
2025,Q4,8.967391304347826,11.55108695652174,168.6,364.03242222222224,118.0,10
